Markx,StationLines,subway,BannerFileName,TrainsbyStopID,Boro,StopID
,21 St-Queensbridge - F,21 St-Queensbridge,Undefined,F,Queens,B04N
,215 St - 1,215 St,Undefined,1,Manhattan,107N
,219 St - 25,219 St,Undefined,25,The Bronx,207N
,225 St - 25,225 St,Undefined,25,The Bronx,206N
,23 St - 1,23 St,Undefined,1,Manhattan,130N
,23 St - 6,23 St,Undefined,6,Manhattan,634N
,23 St - CE,23 St,Undefined,CE,Manhattan,A30N
,23 St - FM,23 St,Undefined,FM,Manhattan,D18N
,23 St - RW,23 St,Undefined,RW,Manhattan,R19N
,231 St - 1,231 St,Undefined,1,The Bronx,104N
,233 St - 25,233 St,Undefined,25,The Bronx,205N
,238 St - 1,238 St,Undefined,1,The Bronx,103N
,25 Av - D,25 Av,Undefined,D,Brooklyn,B22N
,25 St - R,25 St,Undefined,R,Brooklyn,R35N
,28 St - 1,28 St,Undefined,1,Manhattan,129N
,28 St - 6,28 St,Undefined,6,Manhattan,633N
,28 St - RW,28 St,Undefined,RW,Manhattan,R18N
,3 Av - L,3 Av,Undefined,L,Manhattan,L05N
,3 Av-138 St - x,3 Av-138 St,Undefined,x,The Bronx,619N
,3 Av-149 St - 25,3 Av-149 St,Undefined,25,The Bronx,221N
,3 Av-149 St - x,3 Av-149 St,Undefined,x,The Bronx,619N
,30 Av - NW,30 Av,Undefined,NW,Queens,R04N
,33 St - 6,33 St,33 St,6,Manhattan,632N
,33 St-Rawson St - 7,33 St-Rawson St,Undefined,7,Queens,716N
,34 St-Herald Sq - BDFM,34 St-Herald Sq,Undefined,BDFM,Manhattan,D17N
,34 St-Herald Sq - NQRW,34 St-Herald Sq,Undefined,NQRW,Manhattan,R17N
,34 St-Hudson Yards - 7,34 St-Hudson Yards,Undefined,7,Manhattan,726N
,34 St-Penn Station - 123,34 St-Penn Station,Undefined,123,Manhattan,128N
,34 St-Penn Station - ACE,34 St-Penn Station,Undefined,ACE,Manhattan,A28N
,36 Av - NW,36 Av,Undefined,NW,Queens,R06N
,36 St - DNR,36 St,Undefined,DNR,Brooklyn,G20N
,36 St - MR,36 St,Undefined,MR,Queens,R36N
,39 Av-Dutch Kills - NW,39 Av-Dutch Kills,Undefined,NW,Queens,R08N
,4 Av-9 St - FGR,4 Av-9 St,Undefined,FGR,Brooklyn,F23N
,4 Av-9 St - FGR,4 Av-9 St,Undefined,FGR,Brooklyn,R33N
,40 St-Lowery St - 7,40 St-Lowery St,Undefined,7,Queens,715N
,42 St-Bryant Pk - BDFM,42 St-Bryant Pk,Undefined,BDFM,Manhattan,D16N
,42 St-Port Authority Bus Terminal - ACE,42 St-Port Authority Bus Terminal,Undefined,ACE,Manhattan,A27N
,45 St - R,45 St,Undefined,R,Brooklyn,R39N
,46 St - MR,46 St,Undefined,MR,Queens,G18N
,46 St-Bliss St - 7,46 St-Bliss St,Undefined,7,Queens,714N
,47-50 Sts-Rockefeller Ctr - BDFM,47-50 Sts-Rockefeller Ctr,Undefined,BDFM,Manhattan,D15N
,49 St - NRW,49 St,Undefined,NRW,Manhattan,R15N
,5 Av - 7,5 Av,Undefined,7,Manhattan,724N
,5 Av/53 St - EM,5 Av/53 St,Undefined,EM,Manhattan,F12N
,5 Av/59 St - NRW,5 Av/59 St,Undefined,NRW,Manhattan,R13N
,50 St - 1,50 St,Undefined,1,Manhattan,126N
,50 St - CE,50 St,Undefined,CE,Manhattan,A25N
,50 St - D,50 St,Undefined,D,Brooklyn,B14N
,51 St - 6,51 St,Undefined,6,Manhattan,630N
,52 St - 7,52 St,Undefined,7,Queens,713N
,53 St - R,53 St,Undefined,R,Brooklyn,R40N
,55 St - D,55 St,Undefined,D,Brooklyn,B15N
,57 St - F,57 St,Undefined,F,Manhattan,B10N
,57 St-7 Av - NQRW,57 St-7 Av,Undefined,NQRW,Manhattan,R14N
,59 St - 456,59 St,Undefined,456,Manhattan,629N
,59 St - NR,59 St,Undefined,NR,Brooklyn,R41N
,59 St-Columbus Circle - ABCD1,59 St-Columbus Circle,Undefined,ABCD1,Manhattan,A24N
,59 St-Columbus Circle - ABCD1,59 St-Columbus Circle,Undefined,ABCD1,Manhattan,125N
,6 Av - L,6 Av,Undefined,L,Manhattan,L02N
,61 St-Woodside - 7,61 St-Woodside,Undefined,7,Queens,712N
,62 St - D,62 St,Undefined,D,Brooklyn,B16N
,63 Dr-Rego Park - MR,63 Dr-Rego Park,Undefined,MR,Queens,G10N
,65 St - MR,65 St,Undefined,MR,Queens,G15N
,66 St-Lincoln Center - 1,66 St-Lincoln Center,Undefined,1,Manhattan,124N
,67 Av - MR,67 Av,Undefined,MR,Queens,G09N
,68 St-Hunter College - 6,68 St-Hunter College,Undefined,6,Manhattan,628N
,69 St - 7,69 St,Undefined,7,Queens,711N
,7 Av-53rd St - DE,7 Av-53rd St,Undefined,DE,Brooklyn,D14N
,7 Av-9th St - FG,7 Av-9th St,Undefined,FG,Brooklyn,F24N
,7 Av-Park Pl - BQ,7 Av-Park Pl,Undefined,BQ,Manhattan,D25N
,71 St - D,71 St,Undefined,D,Brooklyn,B17N
,72 St - 123,72 St,Undefined,123,Manhattan,123N
,72 St - BC,72 St,Undefined,BC,Manhattan,A22N
,72 St - Q,72 St,Undefined,Q,Manhattan,Q03N
,74 St-Broadway - 7,74 St-Broadway,Undefined,7,Queens,710N
,75 Av - EF,75 Av,Undefined,EF,Queens,F07N
,75 St-Elderts Ln - JZ,75 St-Elderts Ln,Undefined,JZ,Queens,J17N
,77 St - 6,77 St,Undefined,6,Manhattan,627N
,77 St - R,77 St,Undefined,R,Brooklyn,R43N
,79 St - 1,79 St,Undefined,1,Manhattan,122N
,79 St - D,79 St,Undefined,D,Brooklyn,B18N
,8 Av - L,8 Av,Undefined,L,Manhattan,L01N
,8 Av - N,8 Av,Undefined,N,Brooklyn,N02N
,8 St-NYU - RW,8 St-NYU,Undefined,RW,Manhattan,R21N
,80 St - A,80 St,Undefined,A,Queens,A59N
